編號,案類,發生日期,發生時間,發生地點
307,機車竊盜,1050824,0741,臺中市東區東英路
308,機車竊盜,1050824,1400,臺中市中區綠川西街、民族路
309,機車竊盜,1050824,1600,臺中市西區中美街
310,機車竊盜,1050824,1800,臺中市太平區中山路3段33巷
311,機車竊盜,1050825,0145,臺中市西屯區漢城六街
312,機車竊盜,1050825,1500,臺中市北區精武路
313,機車竊盜,1050826,0600,臺中市北區梅亭街
314,機車竊盜,1050826,2300,臺中市豐原區豐洲路123巷
315,機車竊盜,1050826,2350,臺中市北區一中街
316,機車竊盜,1050827,1800,臺中市北屯區大連路與河北路口
317,機車竊盜,1050828,0630,臺中市南區復興路3段
318,機車竊盜,1050828,1506,臺中市潭子區運動公園停車棚
319,機車竊盜,1050829,0640,臺中市大肚區平和街
320,機車竊盜,1050829,2040,臺中市西屯區市政北七路與惠來路口
321,機車竊盜,1050830,0500,臺中市新社區中興里中興嶺
322,機車竊盜,1050830,0900,臺中市南屯區文山里精科三路
323,機車竊盜,1050830,2038,臺中市東區旱溪東路與東英一街口
324,機車竊盜,1050830,2350,臺中市北區雙十路與精武路口
325,機車竊盜,1050901,0620,臺中市南屯區大業路
326,機車竊盜,1050903,1950,臺中市太平區東平路
327,機車竊盜,1050904,0700,臺中市東區振興路437巷
328,機車竊盜,1050905,0100,臺中市南區信義南街
329,機車竊盜,1050905,0802,臺中市太平區中山路1段
330,機車竊盜,1050905,0930,臺中市西屯區臺灣大道2段
331,機車竊盜,1050906,2200,臺中市東勢區福隆里東坑路
332,機車竊盜,1050907,1100,臺中市大里區祥興里中興路2段
333,機車竊盜,1050907,1900,臺中市龍井區臺灣大道5段
334,機車竊盜,1050909,0200,臺中市北區進化北路
335,機車竊盜,1050909,2221,臺中市東區精武路113巷
336,機車竊盜,1050910,0800,臺中市大里區永隆七街
337,機車竊盜,1050911,0000,臺中市北屯區文心路四段
338,機車竊盜,1050911,0045,臺中市北區山西路與漢口路口
339,機車竊盜,1050911,1730,臺中市西區四維街
340,機車竊盜,1050912,2100,臺中市沙鹿區中山路76巷
341,機車竊盜,1050913,1030,臺中市烏日區成功西路
342,機車竊盜,1050915,2246,臺中市豐原區中山路
343,機車竊盜,1050916,1200,臺中市北屯區太原路3段352巷
344,機車竊盜,1050916,1600,臺中市清水區海濱路
345,機車竊盜,1050917,1300,臺中市東區八德街
346,機車竊盜,1050917,2319,臺中市清水區客庄路55巷
347,機車竊盜,1050918,0653,臺中市梧棲區文化路2段
348,機車竊盜,1050918,2300,臺中市南屯區臺灣大道4段
349,機車竊盜,1050920,0630,臺中市大里區中興路2段58巷
350,機車竊盜,1050920,1110,臺中市大里區德芳路2段
351,機車竊盜,1050921,0835,臺中市北區五權路352巷
352,機車竊盜,1050921,1300,臺中市霧峰區乾溪路
353,機車竊盜,1050922,1107,臺中市烏日區新興路
354,機車竊盜,1050926,1725,臺中市烏日區建國路高架橋下人行道
355,機車竊盜,1050926,2050,臺中市西區三民路1段
356,機車竊盜,1050927,1910,臺中市西區中華路一段
357,機車竊盜,1050928,0400,臺中市梧棲區大仁路2段245巷
358,機車竊盜,1050929,1530,臺中市西區日興街
359,機車竊盜,1050930,1735,臺中市西區華美街
360,機車竊盜,1051001,0113,臺中市東區復興路5段
361,機車竊盜,1051001,0659,臺中市西屯區臺灣大道四段
362,機車竊盜,1051002,0800,臺中市清水區中央路
363,機車竊盜,1051003,0730,臺中市后里區梅里路梅里公園
364,機車竊盜,1051003,1304,臺中市烏日區溪南路1段
365,機車竊盜,1051003,1421,臺中市沙鹿區正英三街
366,機車竊盜,1051004,0700,臺中市沙鹿區過洋路
367,機車竊盜,1051005,0700,臺中市大甲區文武路
368,機車竊盜,1051005,1150,臺中市后里區三豐與甲后路口
369,機車竊盜,1051005,1300,臺中市清水區公正路22巷
370,機車竊盜,1051005,1650,臺中市龍井區沙田路6段
371,機車竊盜,1051006,1512,臺中市南屯區田心里南屯路2段
372,機車竊盜,1051006,1515,臺中市南屯區南屯路2段
373,機車竊盜,1051007,0200,臺中市中區綠川東街
374,機車竊盜,1051007,0800,臺中市東區十九甲路段
375,機車竊盜,1051007,1400,臺中市東區復興路4段
376,機車竊盜,1051007,1800,臺中市北區健行路86巷
377,機車竊盜,1051008,1230,臺中市西區美村路1段118巷
378,機車竊盜,1051009,1545,臺中市北區進化北路
379,機車竊盜,1051009,2100,臺中市清水區光復街
380,機車竊盜,1051009,2300,臺中市北區民權路與育德街
381,機車竊盜,1051010,0118,臺中市西屯區臺灣大道4段
382,機車竊盜,1051010,1300,臺中市太平區中山路2段
