編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
184,自行車竊盜,1051216,0,臺中市北屯區昌平路1段,105,2016-12-16,0,自行車竊盜,1,北屯區
185,自行車竊盜,1051218,501,臺中市烏日區溪南路1段271巷,105,2016-12-18,5,自行車竊盜,1,烏日區
186,自行車竊盜,1051220,1415,臺中市西屯區逢大路,105,2016-12-20,14,自行車竊盜,1,西屯區
187,自行車竊盜,1051226,830,臺中市北區賴旺里青島西街,105,2016-12-26,8,自行車竊盜,1,北區
1,自行車竊盜,1060101,600,臺中市西區昇平街145巷,106,2017-01-01,6,自行車竊盜,1,西區
2,自行車竊盜,1060103,1800,臺中市大雅區雅潭路四段,106,2017-01-03,18,自行車竊盜,1,大雅區
3,自行車竊盜,1060108,1730,臺中市北區三民路與錦平街,106,2017-01-08,17,自行車竊盜,1,北區
4,自行車竊盜,1060113,900,臺中市北區中華路2段,106,2017-01-13,9,自行車竊盜,1,北區
5,自行車竊盜,1060115,800,臺中市北屯區安順東五街,106,2017-01-15,8,自行車竊盜,1,北屯區
6,自行車竊盜,1060116,1200,臺中市龍井區遊園南路旁,106,2017-01-16,12,自行車竊盜,1,龍井區
7,自行車竊盜,1060119,1702,臺中市北屯區北平路與北屯路口,106,2017-01-19,17,自行車竊盜,1,北屯區
8,自行車竊盜,1060120,918,臺中市北屯區文心路4段,106,2017-01-20,9,自行車竊盜,1,北屯區
9,自行車竊盜,1060121,1059,臺中市大里區東明路,106,2017-01-21,10,自行車竊盜,1,大里區
10,自行車竊盜,1060123,240,臺中市西屯區至善里18鄰黎明路,106,2017-01-23,2,自行車竊盜,1,西屯區
11,自行車竊盜,1060128,1400,臺中市南屯區黎明路2段,106,2017-01-28,14,自行車竊盜,1,南屯區
12,自行車竊盜,1060201,800,臺中市西屯區工業5路往22路右轉河堤便道上,106,2017-02-01,8,自行車竊盜,1,西屯區
13,自行車竊盜,1060205,346,臺中市神岡區五權路,106,2017-02-05,3,自行車竊盜,1,神岡區
14,自行車竊盜,1060207,900,臺中市豐原區圓環東路,106,2017-02-07,9,自行車竊盜,1,豐原區
15,自行車竊盜,1060211,1124,臺中市北屯區景賢路與景賢六路,106,2017-02-11,11,自行車竊盜,1,北屯區
16,自行車竊盜,1060214,235,臺中市大里區塗城路,106,2017-02-14,2,自行車竊盜,1,大里區
17,自行車竊盜,1060214,800,臺中市太平區中山路2段,106,2017-02-14,8,自行車竊盜,1,太平區
18,自行車竊盜,1060215,643,臺中市西區美村路、五權一街,106,2017-02-15,6,自行車竊盜,1,西區
19,自行車竊盜,1060215,2030,臺中市北區太原北路,106,2017-02-15,20,自行車竊盜,1,北區
20,自行車竊盜,1060222,1130,臺中市北區英才路,106,2017-02-22,11,自行車竊盜,1,北區
21,自行車竊盜,1060223,724,臺中市大里區國光路2段,106,2017-02-23,7,自行車竊盜,1,大里區
22,自行車竊盜,1060223,2100,臺中市北屯區崇德路3段,106,2017-02-23,21,自行車竊盜,1,北屯區
23,自行車竊盜,1060227,1320,臺中市北屯區崇德路2段,106,2017-02-27,13,自行車竊盜,1,北屯區
24,自行車竊盜,1060227,1713,臺中市西區中美街,106,2017-02-27,17,自行車竊盜,1,西區
25,自行車竊盜,1060228,1333,臺中市大安區中山南路,106,2017-02-28,13,自行車竊盜,1,大安區
26,自行車竊盜,1060302,1039,臺中市大里區現岱路,106,2017-03-02,10,自行車竊盜,1,大里區
27,自行車竊盜,1060305,1744,臺中市北屯區陳平路,106,2017-03-05,17,自行車竊盜,1,北屯區
28,自行車竊盜,1060308,1116,臺中市西屯區何厝里漢口路二段,106,2017-03-08,11,自行車竊盜,1,西屯區
29,自行車竊盜,1060310,252,臺中市大里區大明路,106,2017-03-10,2,自行車竊盜,1,大里區
30,自行車竊盜,1060310,1200,臺中市中區建國路與台灣大道路口,106,2017-03-10,12,自行車竊盜,1,中區
31,自行車竊盜,1060311,556,臺中市北區金龍街,106,2017-03-11,5,自行車竊盜,1,北區
32,自行車竊盜,1060311,1500,臺中市大安區中山南與南埔路口,106,2017-03-11,15,自行車竊盜,1,大安區
33,自行車竊盜,1060311,1520,臺中市北區學士路與英才路,106,2017-03-11,15,自行車竊盜,1,北區
34,自行車竊盜,1060314,1900,臺中市烏日區建國路近高鐵東路口,106,2017-03-14,19,自行車竊盜,1,烏日區
35,自行車竊盜,1060316,1409,臺中市東區練武路229巷,106,2017-03-16,14,自行車竊盜,1,東區
36,自行車竊盜,1060317,1600,臺中市北區雙十路,106,2017-03-17,16,自行車竊盜,1,北區
37,自行車竊盜,1060318,1400,臺中市龍井區沙田路4段,106,2017-03-18,14,自行車竊盜,1,龍井區
38,自行車竊盜,1060321,1424,臺中市西區臺灣大道2段,106,2017-03-21,14,自行車竊盜,1,西區
39,自行車竊盜,1060323,1714,臺中市西區自治街,106,2017-03-23,17,自行車竊盜,1,西區
40,自行車竊盜,1060324,520,臺中市西屯區業區41路,106,2017-03-24,5,自行車竊盜,1,西屯區
41,自行車竊盜,1060402,1900,臺中市沙鹿區臺灣大道7段376巷,106,2017-04-02,19,自行車竊盜,1,沙鹿區
42,自行車竊盜,1060403,940,臺中市豐原區永康路105巷,106,2017-04-03,9,自行車竊盜,1,豐原區
43,自行車竊盜,1060403,1416,臺中市南區復興路2段99巷,106,2017-04-03,14,自行車竊盜,1,南區
44,自行車竊盜,1060403,1700,臺中市豐原區三民路,106,2017-04-03,17,自行車竊盜,1,豐原區
45,自行車竊盜,1060408,350,臺中市大甲區中山路1段,106,2017-04-08,3,自行車竊盜,1,大甲區
46,自行車竊盜,1060414,1647,臺中市北區英士路106巷,106,2017-04-14,16,自行車竊盜,1,北區
47,自行車竊盜,1060417,215,臺中市北區梅亭街,106,2017-04-17,2,自行車竊盜,1,北區
48,自行車竊盜,1060417,330,臺中市太平區成功東路,106,2017-04-17,3,自行車竊盜,1,太平區
49,自行車竊盜,1060417,2300,臺中市大甲區順天路鎮瀾宮前,106,2017-04-17,23,自行車竊盜,1,大甲區
50,自行車竊盜,1060422,1123,臺中市南屯區同心里大墩路,106,2017-04-22,11,自行車竊盜,1,南屯區
51,自行車竊盜,1060424,2106,臺中市西屯區臺灣大道2段,106,2017-04-24,21,自行車竊盜,1,西屯區
52,自行車竊盜,1060425,830,臺中市北區北興街,106,2017-04-25,8,自行車竊盜,1,北區
53,自行車竊盜,1060426,1900,臺中市南區國光路,106,2017-04-26,19,自行車竊盜,1,南區
54,自行車竊盜,1060428,816,臺中市大里區東榮路,106,2017-04-28,8,自行車竊盜,1,大里區
55,自行車竊盜,1060503,2100,臺中市南區興大路中興大學大門口前,106,2017-05-03,21,自行車竊盜,1,南區
56,自行車竊盜,1060504,900,臺中市東勢區豐勢路,106,2017-05-04,9,自行車竊盜,1,東勢區
57,自行車竊盜,1060506,200,臺中市后里區舊社路,106,2017-05-06,2,自行車竊盜,1,后里區
58,自行車竊盜,1060507,1530,臺中市豐原區南村,106,2017-05-07,15,自行車竊盜,1,豐原區
59,自行車竊盜,1060508,50,臺中市龍井區遊園南路101巷,106,2017-05-08,0,自行車竊盜,1,龍井區
60,自行車竊盜,1060508,108,臺中市西屯區工業區38路,106,2017-05-08,1,自行車竊盜,1,西屯區
