編號,案類,date_raw,time_raw,location,year_file,date,hour,crime_category,is_valid,district
131,汽車竊盜,1050706,630,臺中市后里區墩北里14鄰甲后路,105,2016-07-06,6,汽車竊盜,1,后里區
132,汽車竊盜,1050708,1010,臺中市西屯區天佑街往中工三路路旁停車格,105,2016-07-08,10,汽車竊盜,1,西屯區
133,汽車竊盜,1050709,530,臺中市大甲區孟春里經國路,105,2016-07-09,5,汽車竊盜,1,大甲區
134,汽車竊盜,1050709,900,臺中市大甲區文曲里中山路1段2巷,105,2016-07-09,9,汽車竊盜,1,大甲區
135,汽車竊盜,1050711,730,臺中市西屯區區福瑞街27巷近東大路,105,2016-07-11,7,汽車竊盜,1,西屯區
136,汽車竊盜,1050715,520,臺中市梧棲區建國北街,105,2016-07-15,5,汽車竊盜,1,梧棲區
137,汽車竊盜,1050716,315,臺中市東勢區下新里5鄰粵寧街,105,2016-07-16,3,汽車竊盜,1,東勢區
138,汽車竊盜,1050719,730,臺中市清水區?榔里15鄰港口路200巷,105,2016-07-19,7,汽車竊盜,1,清水區
139,汽車竊盜,1050719,2100,臺中市龍井區向上路6段,105,2016-07-19,21,汽車竊盜,1,龍井區
140,汽車竊盜,1050720,1009,臺中市霧峰區吉峰里民生路,105,2016-07-20,10,汽車竊盜,1,霧峰區
141,汽車竊盜,1050721,1400,臺中市西屯區文心路3段,105,2016-07-21,14,汽車竊盜,1,西屯區
142,汽車竊盜,1050729,530,臺中市北屯區后庄北路161巷,105,2016-07-29,5,汽車竊盜,1,北屯區
143,汽車竊盜,1050729,614,臺中市東區天乙街,105,2016-07-29,6,汽車竊盜,1,東區
144,汽車竊盜,1050729,700,臺中市太平區長億南二街27巷,105,2016-07-29,7,汽車竊盜,1,太平區
145,汽車竊盜,1050729,715,臺中市新社區東新路3段,105,2016-07-29,7,汽車竊盜,1,新社區
146,汽車竊盜,1050731,1430,臺中市大雅區中山北與昌平路,105,2016-07-31,14,汽車竊盜,1,大雅區
147,汽車竊盜,1050801,223,臺中市神岡區社南里民生路,105,2016-08-01,2,汽車竊盜,1,神岡區
148,汽車竊盜,1050801,800,臺中市霧峰區丁台里丁台路456巷,105,2016-08-01,8,汽車竊盜,1,霧峰區
149,汽車竊盜,1050805,1630,臺中市北屯區中平路,105,2016-08-05,16,汽車竊盜,1,北屯區
150,汽車竊盜,1050806,900,臺中市南屯區寶山里忠勇路,105,2016-08-06,9,汽車竊盜,1,南屯區
151,汽車竊盜,1050806,2100,臺中市豐原區南嵩里20鄰水源路坪頂巷,105,2016-08-06,21,汽車竊盜,1,豐原區
152,汽車竊盜,1050810,130,臺中市烏日區溪埧里溪南路1段,105,2016-08-10,1,汽車竊盜,1,烏日區
153,汽車竊盜,1050810,700,臺中市大雅區中山路327巷,105,2016-08-10,7,汽車竊盜,1,大雅區
154,汽車竊盜,1050810,1200,臺中市烏日區五光路與復光三巷,105,2016-08-10,12,汽車竊盜,1,烏日區
155,汽車竊盜,1050813,400,臺中市北屯區太原路3段,105,2016-08-13,4,汽車竊盜,1,北屯區
156,汽車竊盜,1050814,400,臺中市豐原區萬順一街,105,2016-08-14,4,汽車竊盜,1,豐原區
157,汽車竊盜,1050814,1430,臺中市霧峰區萬豐里中正路,105,2016-08-14,14,汽車竊盜,1,霧峰區
158,汽車竊盜,1050815,700,臺中市龍井區遊園北路,105,2016-08-15,7,汽車竊盜,1,龍井區
159,汽車竊盜,1050815,830,臺中市西屯區永安里國安二路與國祥街,105,2016-08-15,8,汽車竊盜,1,西屯區
160,汽車竊盜,1050816,1300,臺中市霧峰區民生路,105,2016-08-16,13,汽車竊盜,1,霧峰區
161,汽車竊盜,1050818,220,臺中市南區復興北路,105,2016-08-18,2,汽車竊盜,1,南區
162,汽車竊盜,1050819,615,臺中市西屯區福中15街13巷,105,2016-08-19,6,汽車竊盜,1,西屯區
163,汽車竊盜,1050820,730,臺中市大甲區日南里青年與幼二路口,105,2016-08-20,7,汽車竊盜,1,大甲區
164,汽車竊盜,1050820,1800,臺中市北屯區環中東路1段,105,2016-08-20,18,汽車竊盜,1,北屯區
165,汽車竊盜,1050821,1410,臺中市南屯區春社里義芳街,105,2016-08-21,14,汽車竊盜,1,南屯區
166,汽車竊盜,1050822,2130,臺中市大甲區中山里甲東路,105,2016-08-22,21,汽車竊盜,1,大甲區
167,汽車竊盜,1050823,810,臺中市潭子區環中東路,105,2016-08-23,8,汽車竊盜,1,潭子區
168,汽車竊盜,1050824,37,臺中市大雅區三和里7鄰仁和路116巷,105,2016-08-24,0,汽車竊盜,1,大雅區
169,汽車竊盜,1050824,930,臺中市太平區宜昌路,105,2016-08-24,9,汽車竊盜,1,太平區
170,汽車竊盜,1050826,2130,臺中市大肚區蔗?里15鄰太平路,105,2016-08-26,21,汽車竊盜,1,大肚區
171,汽車竊盜,1050827,700,臺中市東勢區東新里文新街,105,2016-08-27,7,汽車竊盜,1,東勢區
172,汽車竊盜,1050827,1815,臺中市西區精誠30街,105,2016-08-27,18,汽車竊盜,1,西區
173,汽車竊盜,1050829,730,臺中市沙鹿區鹿寮里027鄰福人街,105,2016-08-29,7,汽車竊盜,1,沙鹿區
174,汽車竊盜,1050903,930,臺中市西屯區馬龍潭路與黎明路,105,2016-09-03,9,汽車竊盜,1,西屯區
175,汽車竊盜,1050907,657,臺中市東區東光園路,105,2016-09-07,6,汽車竊盜,1,東區
176,汽車竊盜,1050909,750,臺中市豐原區翁子里22鄰豐勢路2段,105,2016-09-09,7,汽車竊盜,1,豐原區
177,汽車竊盜,1050915,1130,臺中市西屯區天佑街上近中工二路,105,2016-09-15,11,汽車竊盜,1,西屯區
178,汽車竊盜,1050916,130,臺中市沙鹿區向上路7段,105,2016-09-16,1,汽車竊盜,1,沙鹿區
179,汽車竊盜,1050916,1745,臺中市神岡區神洲里國豐一段路神洲路,105,2016-09-16,17,汽車竊盜,1,神岡區
180,汽車竊盜,1050920,822,臺中市清水區新興路,105,2016-09-20,8,汽車竊盜,1,清水區
181,汽車竊盜,1050921,720,臺中市西屯區福科路620巷,105,2016-09-21,7,汽車竊盜,1,西屯區
182,汽車竊盜,1050922,1000,臺中市沙鹿區臺灣大路6段926巷,105,2016-09-22,10,汽車竊盜,1,沙鹿區
183,汽車竊盜,1050925,950,臺中市太平區新平路1段朱厝巷,105,2016-09-25,9,汽車竊盜,1,太平區
184,汽車竊盜,1050926,552,臺中市霧峰區霧工一路,105,2016-09-26,5,汽車竊盜,1,霧峰區
185,汽車竊盜,1050928,600,臺中市霧峰區萬豐里07鄰中正路,105,2016-09-28,6,汽車竊盜,1,霧峰區
186,汽車竊盜,1050929,1245,臺中市大里區工業二路,105,2016-09-29,12,汽車竊盜,1,大里區
187,汽車竊盜,1051001,700,臺中市北屯區庄美街及榮貴街,105,2016-10-01,7,汽車竊盜,1,北屯區
188,汽車竊盜,1051002,840,臺中市清水區鰲峰路,105,2016-10-02,8,汽車竊盜,1,清水區
189,汽車竊盜,1051004,820,臺中市北屯區敦化路與仁平路,105,2016-10-04,8,汽車竊盜,1,北屯區
190,汽車竊盜,1051005,52,臺中市北區太原路1段,105,2016-10-05,0,汽車竊盜,1,北區
