date,hour,location,district,crime_category,is_valid
2016-08-14,20,臺中市新社區華豐三街113巷,新社區,機車竊盜,1
2016-08-15,1,臺中市沙鹿區大同街24巷,沙鹿區,機車竊盜,1
2016-08-15,21,臺中市北區民權路,北區,機車竊盜,1
2016-08-16,12,臺中市西屯區西屯路2段華園巷,西屯區,機車竊盜,1
2016-08-17,12,臺中市北屯區北平路3段,北屯區,機車竊盜,1
2016-08-20,6,臺中市豐原區三豐路877巷,豐原區,機車竊盜,1
2016-08-21,23,臺中市西區精美路,西區,機車竊盜,1
2016-08-22,4,臺中市大雅區中青路四段,大雅區,機車竊盜,1
2016-08-22,5,臺中市西屯區至善路234巷,西屯區,機車竊盜,1
2016-08-22,8,臺中市太平區永安街口,太平區,機車竊盜,1
2016-08-22,16,臺中市南屯區永定里南美街,南屯區,機車竊盜,1
2016-08-22,23,臺中市烏日區文德街,烏日區,機車竊盜,1
2016-08-23,17,臺中市北屯區長生巷,北屯區,機車竊盜,1
2016-08-23,21,臺中市太平區中興東路,太平區,機車竊盜,1
2016-08-24,1,臺中市中區自由路2段,中區,機車竊盜,1
2016-08-24,7,臺中市東區東英路,東區,機車竊盜,1
2016-08-24,14,臺中市中區綠川西街、民族路,中區,機車竊盜,1
2016-08-24,16,臺中市西區中美街,西區,機車竊盜,1
2016-08-24,18,臺中市太平區中山路3段33巷,太平區,機車竊盜,1
2016-08-25,1,臺中市西屯區漢城六街,西屯區,機車竊盜,1
2016-08-25,15,臺中市北區精武路,北區,機車竊盜,1
2016-08-26,6,臺中市北區梅亭街,北區,機車竊盜,1
2016-08-26,23,臺中市豐原區豐洲路123巷,豐原區,機車竊盜,1
2016-08-26,23,臺中市北區一中街,北區,機車竊盜,1
2016-08-27,18,臺中市北屯區大連路與河北路口,北屯區,機車竊盜,1
2016-08-28,6,臺中市南區復興路3段,南區,機車竊盜,1
2016-08-28,15,臺中市潭子區運動公園停車棚,潭子區,機車竊盜,1
2016-08-29,6,臺中市大肚區平和街,大肚區,機車竊盜,1
2016-08-29,20,臺中市西屯區市政北七路與惠來路口,西屯區,機車竊盜,1
2016-08-30,5,臺中市新社區中興里中興嶺,新社區,機車竊盜,1
2016-08-30,9,臺中市南屯區文山里精科三路,南屯區,機車竊盜,1
2016-08-30,20,臺中市東區旱溪東路與東英一街口,東區,機車竊盜,1
2016-08-30,23,臺中市北區雙十路與精武路口,北區,機車竊盜,1
