date,hour,location,district,crime_category,is_valid,latitude,longitude,geocode_method
2016-05-04,15,臺中市神岡區大洲路,神岡區,機車竊盜,1,24.27477726311742,120.66471197175724,jittered
2016-05-05,0,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1,24.17566040223419,120.62139994398693,jittered
2016-05-05,9,臺中市北區武昌街,北區,機車竊盜,1,24.16167213843895,120.68687198719508,jittered
2016-05-05,18,臺中市北屯區天津路4段,北屯區,機車竊盜,1,24.184346094529285,120.70193542792012,jittered
2016-05-06,6,臺中市東勢區北興里豐勢路,東勢區,機車竊盜,1,24.247685570731417,120.84267113761307,jittered
2016-05-06,7,臺中市豐原區中正路,豐原區,機車竊盜,1,24.237014289516654,120.71677461144884,jittered
2016-05-06,19,臺中市后里區甲后路,后里區,機車竊盜,1,24.29434221528485,120.71215476858887,jittered
2016-05-06,22,臺中市北區太原八街,北區,機車竊盜,1,24.1734,120.68157138271593,jittered
2016-05-09,6,臺中市龍井區臨港東路2段315巷,龍井區,機車竊盜,1,24.205658804439796,120.53210728417504,jittered
2016-05-11,23,臺中市大雅區雅環路二段221巷,大雅區,機車竊盜,1,24.21912523093177,120.65064918548784,jittered
2016-05-12,14,臺中市神岡區大漢街,神岡區,機車竊盜,1,24.259318094477035,120.66639792945776,jittered
2016-05-13,0,臺中市南屯區永春北路,南屯區,機車竊盜,1,24.135507709407722,120.61448266535336,jittered
2016-05-13,8,臺中市大雅區中清東路,大雅區,機車竊盜,1,24.22316936168804,120.65338402680858,jittered
2016-05-14,4,臺中市西區梅川西路2段,西區,機車竊盜,1,24.13971788898292,120.66192541457897,jittered
2016-05-16,11,臺中市太平區東村八街13巷,太平區,機車竊盜,1,24.12825832491788,120.69879579900785,jittered
2016-05-18,0,臺中市烏日區自立街,烏日區,機車竊盜,1,24.124399999999998,120.62406789319235,jittered
2016-05-19,19,臺中市大里區中新里現岱路,大里區,機車竊盜,1,24.1068043832274,120.68062295937608,jittered
2016-05-20,0,臺中市西屯區臺灣大道4段,西屯區,機車竊盜,1,24.18881147388555,120.59460325546989,jittered
2016-05-20,23,臺中市潭子區中山路,潭子區,機車竊盜,1,24.21233548202877,120.7177891174265,jittered
2016-05-26,0,臺中市北區英士路,北區,機車竊盜,1,24.169770078497134,120.6938,jittered
2016-05-29,17,臺中市北區進化北路,北區,機車竊盜,1,24.157746473722902,120.68527589067384,jittered
2016-05-30,10,臺中市大甲區中山路,大甲區,機車竊盜,1,24.342690257448993,120.63392530584193,jittered
2016-06-01,11,臺中市北區梅亭街,北區,機車竊盜,1,24.160367625546854,120.68485756248836,jittered
2016-06-02,0,臺中市沙鹿區晉文路,沙鹿區,機車竊盜,1,24.244545900606948,120.5588291319573,jittered
2016-06-02,13,臺中市西屯區港尾里中清路2段,西屯區,機車竊盜,1,24.178165971426473,120.6420150386033,jittered
2016-06-04,23,臺中市沙鹿區台灣大道9段,沙鹿區,機車竊盜,1,24.21954359599716,120.55652189834325,jittered
2016-06-05,6,臺中市東區東學街後巷,東區,機車竊盜,1,24.140844612284244,120.71096963302361,jittered
2016-06-05,21,臺中市外埔區土城北路,外埔區,機車竊盜,1,24.340609314559398,120.65021754425308,jittered
2016-06-08,10,臺中市梧棲區梧南路,梧棲區,機車竊盜,1,24.24530896150749,120.52538989459646,jittered
2016-06-08,13,臺中市北區精武路,北區,機車竊盜,1,24.164573723594156,120.6938,jittered
2016-06-09,1,臺中市大雅區大榮街106巷口,大雅區,機車竊盜,1,24.23476486806511,120.65104035673642,jittered
2016-06-11,14,臺中市霧峰區吉峰西路74巷,霧峰區,機車竊盜,1,24.06212658077747,120.67854382384843,jittered
2016-06-12,2,臺中市中區成功路與綠川東街口,中區,機車竊盜,1,24.14678284693942,120.6807058848503,jittered
2016-06-12,14,臺中市南屯區文心路1段,南屯區,機車竊盜,1,24.152851224079065,120.59475518679473,jittered
2016-06-12,23,臺中市潭子區興華一路,潭子區,機車竊盜,1,24.211357059227836,120.70102314220267,jittered
2016-06-13,20,臺中市西屯區忠義街,西屯區,機車竊盜,1,24.193359899701615,120.61650414306824,jittered
2016-06-14,0,臺中市大里區永興路302巷,大里區,機車竊盜,1,24.09106141375455,120.68804915092014,jittered
2016-06-14,7,臺中市西區福龍街,西區,機車竊盜,1,24.133038854811122,120.6596477172143,jittered
2016-06-14,11,臺中市太平區太平路,太平區,機車竊盜,1,24.14923383862478,120.71662222467297,jittered
2016-06-14,19,臺中市南區大慶街2段,南區,機車竊盜,1,24.11426696653898,120.66446816082454,jittered
